Closeness Centrality — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,763
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
350     hyperopt                                                  0.35134573    0.682918
351     universal_pathlib                                         0.35134573    0.682918
352     adapters                                                  0.35132748    0.682855
353     tf2onnx                                                   0.35130923    0.682792
354     trimesh                                                   0.35119975    0.682416
355     arxiv                                                     0.35112680    0.682166
356     pygments                                                  0.35110857    0.682103
357     smart_open                                                0.35105389    0.681915
358     jupyter-client                                            0.35103566    0.681853
359     hf-doc-builder                                            0.35094457    0.681540
360     jupyter-releaser                                          0.35090815    0.681415
361     opik                                                      0.35085353    0.681227
362     jupyterlab-server                                         0.35085353    0.681227
363     twine                                                     0.35083532    0.681165
364     awkward                                                   0.35081712    0.681102
365     typing_extensions                                         0.35079892    0.681040
366     jupyterlab_server                                         0.35079892    0.681040
367     snowflake-core                                            0.35078072    0.680977
368     hf_doc_builder                                            0.35068976    0.680665
369     optimum-graphcore                                         0.35063521    0.680477
370     datasette                                                 0.35056250    0.680228
371     numcodecs                                                 0.35052615    0.680103
372     pyarrow                                                   0.35039901    0.679666
373     markdown-it-py                                            0.35038085    0.679604
374     imageio                                                   0.35038085    0.679604
375     rich                                                      0.35038085    0.679604
376     csvw                                                      0.35036269    0.679541
377     litestar                                                  0.35021753    0.679042
378     mock                                                      0.35019939    0.678980
379     sparse                                                    0.35014499    0.678793
380     smart-open                                                0.35014499    0.678793
381     scikit-build                                              0.35012686    0.678731
382     cmdstanpy                                                 0.35010873    0.678669
383     spatialdata-io                                            0.35009060    0.678606
384     cupy-cuda12x                                              0.34996377    0.678170
385     google-generativeai                                       0.34992755    0.678046
386     xdev                                                      0.34987323    0.677859
387     ipyniivue                                                 0.34987323    0.677859
388     idna                                                      0.34985513    0.677797
389     ipywidgets                                                0.34983703    0.677735
390     scikit-base                                               0.34980084    0.677610
391     coiled                                                    0.34972847    0.677362
392     python-dateutil                                           0.34972847    0.677362
393     ax-platform                                               0.34967422    0.677175
394     beaker-py                                                 0.34965614    0.677113
395     cvxpy                                                     0.34963806    0.677051
396     torch-tensorrt                                            0.34963806    0.677051
397     pytest-doctestplus                                        0.34963806    0.677051
398     flexcache                                                 0.34961998    0.676989
399     flexparser                                                0.34961998    0.676989
400     outlines_core                                             0.34952962    0.676678
401     seqio                                                     0.34947543    0.676492
402     dask-cuda                                                 0.34942125    0.676305
403     albumentations                                            0.34938514    0.676181
404     aiostream                                                 0.34933099    0.675995
405     python-arango                                             0.34931295    0.675933
406     importlib_metadata                                        0.34931295    0.675933
407     sphinx-autodoc-defaultargs                                0.34925882    0.675747
408     mapclassify                                               0.34924078    0.675685
409     PyHamcrest                                                0.34924078    0.675685
410     google.auth                                               0.34902447    0.674941
411     nbformat                                                  0.34900645    0.674879
412     trino                                                     0.34893441    0.674631
413     torchmetrics                                              0.34889841    0.674507
414     mdformat-front-matters                                    0.34884441    0.674322
415     annsel                                                    0.34879043    0.674136
416     sphinx_book_theme                                         0.34875445    0.674012
417     triton                                                    0.34875445    0.674012
418     pyctcdecode                                               0.34866454    0.673703
419     xarray-spatial                                            0.34862858    0.673579
420     ensureconda                                               0.34859264    0.673455
421     pytest-check                                              0.34855670    0.673332
422     xonsh                                                     0.34846689    0.673023
423     trackio                                                   0.34830535    0.672467
424     paretoset                                                 0.34825153    0.672282
425     furo                                                      0.34825153    0.672282
426     jupysql                                                   0.34814395    0.671912
427     ufmt                                                      0.34812603    0.671850
428     pypdf                                                     0.34810811    0.671788
429     llmlingua                                                 0.34809019    0.671726
430     notebook                                                  0.34803644    0.671542
431     pydicom                                                   0.34803644    0.671542
432     h5netcdf                                                  0.34801853    0.671480
433     xarray                                                    0.34800062    0.671418
434     jsonpickle                                                0.34800062    0.671418
435     elastic-transport                                         0.34800062    0.671418
436     pylance                                                   0.34800062    0.671418
437     graphtools                                                0.34798271    0.671357
438     mcp                                                       0.34796480    0.671295
439     inequality                                                0.34792899    0.671172
440     scprep                                                    0.34791109    0.671110
441     pyunlocbox                                                0.34791109    0.671110
442     click-compose                                             0.34791109    0.671110
443     py7zr                                                     0.34789319    0.671048
444     coincidence                                               0.34787530    0.670987
445     tslearn                                                   0.34776795    0.670617
446     jupyter_client                                            0.34776795    0.670617
447     folium                                                    0.34773218    0.670494
448     lonboard                                                  0.34771430    0.670433
449     jupyter-events                                            0.34769642    0.670371
450     param                                                     0.34769642    0.670371
451     gcovr                                                     0.34767854    0.670310
452     moviepy                                                   0.34764279    0.670186
453     panflute                                                  0.34762492    0.670125
454     databricks-sdk                                            0.34755345    0.669879
455     pyroma                                                    0.34753559    0.669817
456     kvikio-cu13                                               0.34748201    0.669633
457     kvikio-cu12                                               0.34748201    0.669633
458     prance                                                    0.34744631    0.669510
459     monai                                                     0.34742845    0.669448
460     sigstore                                                  0.34739276    0.669326
461     Keras-Preprocessing                                       0.34737491    0.669264
462     vcrpy                                                     0.34732138    0.669080
463     dython                                                    0.34728571    0.668957
464     SQLAlchemy                                                0.34719655    0.668650
465     ase                                                       0.34716090    0.668527
466     apprise                                                   0.34714308    0.668466
467     ablog                                                     0.34707181    0.668220
468     stumpy                                                    0.34703618    0.668098
469     bayes-optim                                               0.34700056    0.667975
470     docling-core                                              0.34700056    0.667975
471     dask-image                                                0.34691155    0.667668
472     sphinx-rtd-theme                                          0.34689376    0.667607
473     ome-zarr                                                  0.34680480    0.667300
474     urllib3                                                   0.34671589    0.666994
475     mem0ai                                                    0.34664479    0.666749
476     crawl4ai                                                  0.34660926    0.666627
477     jupyter-ai-magics                                         0.34660926    0.666627
478     array-api-compat                                          0.34660926    0.666627
479     pykeops                                                   0.34659149    0.666566
480     pip-audit                                                 0.34655597    0.666443
481     kerchunk                                                  0.34644943    0.666076
482     clearml                                                   0.34641393    0.665954
483     pyogrio                                                   0.34637844    0.665831
484     pymoo                                                     0.34634296    0.665709
485     treq                                                      0.34632522    0.665648
486     pkgmt                                                     0.34620111    0.665220
487     xdoctest                                                  0.34618338    0.665159
488     docrepr                                                   0.34616566    0.665098
489     sphinx-argparse                                           0.34613022    0.664976
490     livemark                                                  0.34607708    0.664793
491     mlrun                                                     0.34607708    0.664793
492     httpx                                                     0.34607708    0.664793
493     snowflake-sqlalchemy                                      0.34605937    0.664732
494     dask-cudf-cu12                                            0.34600624    0.664549
495     evosax                                                    0.34598854    0.664488
496     dask-cudf-cu13                                            0.34597084    0.664427
497     copier                                                    0.34593544    0.664305
498     neptune-prophet                                           0.34590005    0.664183
499     pytest-benchmark                                          0.34588235    0.664122
500     aws-sam-translator                                        0.34582928    0.663939
501     mmh3                                                      0.34581160    0.663878
502     curl_cffi                                                 0.34581160    0.663878
503     pytest-checkdocs                                          0.34577623    0.663756
504     igraph                                                    0.34572320    0.663573
