Betweenness Centrality — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,763
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
249     flask                                                 76941.59418325    0.698395
250     optimum-furiosa                                       76428.70446809    0.697980
251     pip-run                                               75942.03890015    0.697583
252     aeon                                                  74386.43825374    0.696299
253     lxml                                                  74323.62870851    0.696246
254     cairosvg                                              74159.19068619    0.696109
255     monai                                                 74018.93367966    0.695991
256     sse-starlette                                         73814.24222243    0.695819
257     azure-ai-ml                                           73655.82154213    0.695686
258     ltp-core                                              73336.61594147    0.695416
259     shap                                                  73108.72751448    0.695223
260     phonemizer                                            73087.48755648    0.695205
261     reward-kit                                            72703.65682254    0.694878
262     mock                                                  71930.28810742    0.694214
263     multiscale-spatial-image                              71777.78815992    0.694083
264     jupyterlite-core                                      71563.43165373    0.693897
265     xdoctest                                              71420.89584577    0.693773
266     Sphinx                                                71322.86512722    0.693688
267     prefect-kubernetes                                    71275.71749188    0.693647
268     pygal                                                 71193.98825837    0.693576
269     strands-agents                                        70922.40307614    0.693338
270     langchain-azure-ai                                    70786.06669729    0.693219
271     open_clip_torch                                       70561.44529500    0.693022
272     accessible-pygments                                   69821.03564254    0.692367
273     tensorflow-datasets                                   69730.79070593    0.692287
274     jupyter-server                                        69390.32995544    0.691983
275     graphviz                                              69279.93525380    0.691884
276     gcsfs                                                 68791.44017793    0.691445
277     kopf                                                  68469.80820187    0.691154
278     csvw                                                  68107.32545042    0.690824
279     segments                                              67918.88190992    0.690652
280     pytest-checkdocs                                      67375.67643332    0.690154
281     textual                                               66962.92787489    0.689772
282     orbax-export                                          66681.12868605    0.689511
283     bandit                                                65767.55497024    0.688654
284     snowflake-connector-python                            65667.92345248    0.688560
285     rst.linker                                            65662.68065197    0.688555
286     kombu                                                 65207.73358322    0.688124
287     kedro                                                 65081.63101549    0.688004
288     neo4j-graphrag                                        64874.06595236    0.687805
289     neptune                                               64405.51127938    0.687355
290     webdataset                                            64274.42773824    0.687229
291     pytest-xdist                                          63777.62703210    0.686747
292     hvplot                                                63471.70017054    0.686449
293     sphinx-substitution-extensions                        63351.05570065    0.686331
294     pproxy                                                63184.20369692    0.686167
295     etils                                                 63084.62774467    0.686069
296     langchain-neo4j                                       62607.50309384    0.685598
297     imageio                                               61478.74759938    0.684468
298     pyngrok                                               61207.49166307    0.684194
299     bokeh                                                 60962.47513536    0.683945
300     sagemaker-serve                                       60924.10116733    0.683906
301     semantic-router                                       60874.26061359    0.683855
302     jaraco.packaging                                      60359.07053885    0.683327
303     importlib_resources                                   59917.05362330    0.682871
304     notebook                                              59616.71075947    0.682559
305     awscrt                                                59568.78752565    0.682509
306     google-api-core                                       59223.70219855    0.682149
307     jupysql                                               59036.72101990    0.681952
308     anyio                                                 58681.59031873    0.681578
309     mpmath                                                58464.73647850    0.681348
310     gptqmodel                                             58307.77839263    0.681181
311     mldesigner                                            58265.75523258    0.681136
312     spatialdata-io                                        57969.95401145    0.680821
313     openai-agents                                         57966.09857090    0.680816
314     aiohttp                                               57813.13933060    0.680652
315     xhtml2pdf                                             57708.47304824    0.680540
316     snowflake-ml-python                                   57657.44036723    0.680485
