PageRank — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,765
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
186     isodate                                                   0.00050018    0.007416
187     mypy_extensions                                           0.00049558    0.007337
188     numpydoc                                                  0.00049351    0.007301
189     traitlets                                                 0.00049227    0.007280
190     zipp                                                      0.00049098    0.007257
191     execnet                                                   0.00048926    0.007228
192     librt                                                     0.00048803    0.007207
193     ptyprocess                                                0.00048543    0.007162
194     pexpect                                                   0.00048095    0.007085
195     tomlkit                                                   0.00048049    0.007077
196     setproctitle                                              0.00047840    0.007041
197     email-validator                                           0.00047605    0.007000
198     sphinx-design                                             0.00047493    0.006981
199     google-auth!                                              0.00047439    0.006972
200     Cython                                                    0.00047351    0.006957
201     proto-plus                                                0.00047344    0.006955
202     pysocks!                                                  0.00047095    0.006912
203     websockets                                                0.00046538    0.006817
204     asn1crypto                                                0.00045708    0.006674
205     pyobjc-framework-Quartz                                   0.00045595    0.006654
206     boto3                                                     0.00045569    0.006650
207     nbformat                                                  0.00045435    0.006627
208     types-requests                                            0.00045092    0.006568
209     rapidfuzz                                                 0.00044857    0.006527
210     python-dotenv                                             0.00044816    0.006520
211     botocore                                                  0.00044716    0.006503
212     google-auth                                               0.00044611    0.006485
213     tokenize-rt                                               0.00044260    0.006424
214     pydantic-core                                             0.00044236    0.006420
215     accessible-pygments                                       0.00044223    0.006418
216     sqlalchemy                                                0.00043766    0.006339
217     typing-inspection                                         0.00043033    0.006213
218     sphinx-basic-ng                                           0.00042862    0.006184
219     jmespath                                                  0.00042783    0.006170
220     pyfakefs                                                  0.00042588    0.006136
221     transformers                                              0.00042193    0.006068
222     google-api-core[grpc]!                                    0.00042095    0.006051
223     networkx                                                  0.00042027    0.006040
224     fastcore                                                  0.00041830    0.006006
225     bump2version                                              0.00041592    0.005965
226     pyasn1                                                    0.00041478    0.005945
227     openai                                                    0.00041168    0.005892
228     dill                                                      0.00040997    0.005862
229     numba                                                     0.00040959    0.005856
230     typer                                                     0.00040798    0.005828
231     arro3-core                                                0.00040711    0.005813
232     opentelemetry-sdk                                         0.00040131    0.005713
233     toml                                                      0.00039725    0.005643
234     decorator                                                 0.00039630    0.005627
235     pytest-perf                                               0.00039528    0.005609
236     sphinx-book-theme                                         0.00039504    0.005605
237     joblib                                                    0.00039102    0.005536
238     nvidia-cublas-cu12                                        0.00038701    0.005467
239     tabulate                                                  0.00038455    0.005424
240     dnspython                                                 0.00037883    0.005326
241     hyperframe                                                0.00037502    0.005260
242     sphinx-autodoc-typehints                                  0.00037487    0.005258
243     sphinx-inline-tabs                                        0.00037316    0.005228
244     hpack                                                     0.00037274    0.005221
245     itk-core                                                  0.00037174    0.005204
246     pbr                                                       0.00036879    0.005153
247     types-setuptools                                          0.00036809    0.005141
248     annotated-types                                           0.00036769    0.005134
249     cachetools                                                0.00036438    0.005077
250     python-discovery                                          0.00036287    0.005051
251     databind                                                  0.00036280    0.005050
252     jaraco.functools                                          0.00036074    0.005014
253     backports.zoneinfo                                        0.00035725    0.004954
254     tomli-w                                                   0.00035610    0.004935
255     charset-normalizer                                        0.00035310    0.004883
256     distlib                                                   0.00035245    0.004872
257     onnx                                                      0.00035228    0.004869
258     sniffio                                                   0.00034968    0.004824
259     rapids-logger                                             0.00034965    0.004823
260     async-timeout                                             0.00034755    0.004787
261     pytest-regressions                                        0.00034396    0.004725
262     blurb                                                     0.00034364    0.004720
263     itkwasm                                                   0.00034110    0.004676
264     jaraco.context                                            0.00033623    0.004592
265     towncrier                                                 0.00033591    0.004587
266     check-manifest                                            0.00033589    0.004586
267     polib                                                     0.00033544    0.004579
268     google-api-core                                           0.00033448    0.004562
269     zope.interface                                            0.00033421    0.004558
270     starlette                                                 0.00033359    0.004547
271     aws-cdk.aws-kms                                           0.00032972    0.004480
272     flask                                                     0.00032944    0.004475
273     referencing                                               0.00032747    0.004442
274     SQLAlchemy                                                0.00032692    0.004432
275     torchvision                                               0.00032183    0.004344
276     pymongo                                                   0.00032149    0.004338
277     dataclasses                                               0.00031803    0.004279
278     cffi~                                                     0.00031775    0.004274
279     xarray                                                    0.00031709    0.004263
280     jsonpointer                                               0.00031681    0.004258
281     sphinx-autobuild                                          0.00031603    0.004244
282     shiboken6                                                 0.00031570    0.004239
283     fastapi                                                   0.00031551    0.004235
284     libcst                                                    0.00031442    0.004217
285     uv                                                        0.00031340    0.004199
286     tcmlib                                                    0.00031284    0.004190
287     mypy-extensions                                           0.00031138    0.004164
288     objgraph                                                  0.00030668    0.004083
289     bcrypt                                                    0.00030550    0.004063
